
=== QOFENO PLATFORM TOOL DISCOVERY (92 TOOLS FOUND) ===

| Slug                           | Name                           | Category             | Free  | Wired | Has Func | Status          |
|--------------------------------|--------------------------------|----------------------|-------|-------|----------|-----------------|
| aac-converter                  | Aac Converter                  | Audio Tools          | true  | Yes   | Yes      | Working         |
| audio-compressor               | Audio Compressor               | Audio Tools          | true  | Yes   | Yes      | Working         |
| audio-metadata-viewer          | Audio Metadata Viewer          | Audio Tools          | true  | Yes   | Yes      | Working         |
| audio-reverser                 | Audio Reverser                 | Audio Tools          | true  | Yes   | Yes      | Working         |
| avi-converter                  | Avi Converter                  | Video Tools          | true  | Yes   | Yes      | Working         |
| background-noise-remover       | Background Noise Remover       | Video Tools          | true  | Yes   | Yes      | Working         |
| base64-encoder                 | Base64 Encoder                 | Developer Tools      | true  | No    | Yes      | Working         |
| bass-booster                   | Bass Booster                   | Audio Tools          | true  | Yes   | Yes      | Working         |
| batch-compress-pdfs            | Batch Compress PDFs            | PDF & Documents      | true  | Yes   | Yes      | Working         |
| batch-convert-pdfs             | Batch Convert PDFs             | PDF & Documents      | true  | Yes   | Yes      | Working         |
| batch-merge-pdfs               | Batch Merge PDFs               | PDF & Documents      | true  | Yes   | Yes      | Working         |
| blur-image                     | Blur Image                     | Image Tools          | true  | Yes   | Yes      | Working         |
| brightness-adjust              | Brightness Adjust              | Image Tools          | true  | Yes   | Yes      | Working         |
| change-pitch                   | Change Pitch                   | Audio Tools          | true  | Yes   | Yes      | Working         |
| change-speed                   | Change Speed                   | AI & Automation      | true  | Yes   | Yes      | Working         |
| contrast-adjust                | Contrast Adjust                | Image Tools          | true  | Yes   | Yes      | Working         |
| crop-image                     | Crop Image                     | Image Tools          | true  | Yes   | Yes      | Working         |
| excel-to-pdf                   | Excel To PDF                   | PDF & Documents      | true  | Yes   | Yes      | Working         |
| extract-audio                  | Extract Audio                  | Audio Tools          | true  | Yes   | Yes      | Working         |
| fade-in                        | Fade In                        | Audio Tools          | true  | Yes   | Yes      | Working         |
| fade-out                       | Fade Out                       | Audio Tools          | true  | Yes   | Yes      | Working         |
| flac-converter                 | Flac Converter                 | Audio Tools          | true  | Yes   | Yes      | Working         |
| flip-image                     | Flip Image                     | Image Tools          | true  | Yes   | Yes      | Working         |
| gif-maker-video                | Gif Maker Video                | Video Tools          | true  | Yes   | Yes      | Working         |
| image-bg-remover               | Image Background Remover       | Video Tools          | true  | Yes   | Yes      | Working         |
| image-compressor               | Image Compressor               | Image Tools          | true  | Yes   | Yes      | Working         |
| image-converter                | Image Converter                | Image Tools          | true  | Yes   | Yes      | Working         |
| image-resizer                  | Image Resizer                  | Image Tools          | true  | Yes   | Yes      | Working         |
| jpg-to-pdf                     | JPG To PDF                     | PDF & Documents      | true  | Yes   | Yes      | Working         |
| json-formatter                 | JSON Formatter                 | Developer Tools      | true  | No    | Yes      | Working         |
| merge-audio                    | Merge Audio                    | Audio Tools          | true  | Yes   | Yes      | Working         |
| merge-videos                   | Merge Videos                   | Video Tools          | true  | Yes   | Yes      | Working         |
